#,Course,Location,Holes,Par,Yards,Difficulty,Green Fees,Tee Times,Website
1,Lady Bird Johnson GC,"Fredericksburg, TX",18,71,"6,432–6,886",Moderate,$45–$75,Yes,https://ladybirdgolf.com/
2,The Buckhorn GC,"Comfort, TX",18,71,"6,648",Moderate,$35–$50,Yes,https://www.buckhorngolfcourse.com/
3,Scott Schreiner Muni GC,"Kerrville, TX",18,70,"6,453",Moderate,$30–$45,Yes,https://www.golfkerrvilletex.com/
4,Blue Lake GC,"Horseshoe Bay, TX",9,36,"~3,000",Beginner,$25–$35,Yes,https://bluelakegolf.com/
5,Lighthouse CC,"Kingsland, TX",18,71,"~6,500",Moderate,$40–$60,Yes,https://lighthousecountryclub.com/
6,Llano River GC,"Llano, TX",18,71,"6,094",Moderate,$30–$50,Yes,https://www.golfllanoriver.com/
7,Legends GC,"Kingsland, TX",18,72,"~6,800",Moderate,$40–$60,Yes,https://legendslbj.com/
8,Delaware Springs GC,"Burnet, TX",18,72,"6,819",Moderate,$30–$35,Yes,https://delawaresprings.com/
9,Tapatio Springs GC,"Boerne, TX",18,72,"~6,800",Moderate,$60–$100,Yes,https://www.tapatiosprings.com/
10,Vaaler Creek GC,"Blanco, TX",18,72,"~6,800",Moderate,$50–$80,Yes,https://www.vaalercreekgolfclub.com/
11,Cypress Valley GC,"Spicewood, TX",9,36,"~3,200",Beginner,$25–$35,Yes,https://www.cypressvalley.com/
12,Pedernales GC (Cut-N-Putt),"Spicewood, TX",9,36,"3,030–3,330",Moderate,$25–$40,Yes (walk-in),http://cutnputt.com/
13,Bandit GC,"New Braunfels, TX",18,72,"~6,900",Moderate,$40–$60,Yes,https://www.banditgolfclub.com/
14,Landa Park GC,"New Braunfels, TX",18,71,"~6,100",Moderate,$30–$45,Yes,https://www.landaparkgolfcourse.com/
15,Plum Creek GC,"Kyle, TX",18,72,"7,132",Challenging,$50–$85,Yes,https://www.plumcreekgolf.com/
16,Brackenridge Park GC,"San Antonio, TX",18,71,"6,243",Moderate,$25–$45,Yes,https://alamocitygolftrail.com/brackenridge-park-golf-course/
17,Cedar Creek GC,"San Antonio, TX",18,72,"6,716",Moderate,$30–$50,Yes,https://alamocitygolftrail.com/cedar-creek-golf-course/
18,The Quarry GC,"San Antonio, TX",18,72,"6,824",High,$90–$150,Yes,https://quarrygolf.com/
19,Northern Hills GC,"San Antonio, TX",18,72,"6,603",Moderate,$35–$60,Yes,https://alamocitygolftrail.com/northern-hills-golf-course/
20,Olympia Hills GC,"Universal City, TX",18,72,"7,100",Challenging,$45–$75,Yes,https://www.olympiahillsgolf.com/
21,Willow Springs GC,"San Antonio, TX",18,72,"6,500",Moderate,$30–$45,Yes,https://alamocitygolftrail.com/willow-springs-golf-course/
22,Lockhart State Park GC,"Lockhart, TX",9,35,"2,900",Beginner,$15–$25,Yes (walk-in),https://tpwd.texas.gov/state-parks/lockhart/fees-facilities/golf-course
23,San Pedro Par 3 GC,"San Antonio, TX",9,27,"1,200",Beginner,$15–$25,Yes (walk-in),https://alamocitygolftrail.com/
24,Riverside GC,"Austin, TX",18,71,"6,562",Moderate,$18–$25,Yes,https://riverside-gc.com/
